image,Default,Tuned,Change (%)
IMG_3627_block_2_1_png_jpg.rf.ffc989d1e5e8dc8738115f9a6f5c287a.jpg,49,39,-20.41
IMG_3628_block_0_0_png_jpg.rf.58be425778a0cf7836e33d1a26270e14.jpg,5,5,0.0
IMG_3628_block_0_0_png_jpg.rf.8e3094f7a13006fdd277a21d74e58a76.jpg,7,5,-28.57
IMG_3628_block_0_0_png_jpg.rf.f92491739b70d8e06b34c4d04f832884.jpg,3,3,0.0
IMG_3628_block_1_0_png_jpg.rf.133ed0e367c7bbf490fc6a31a211f5b8.jpg,30,29,-3.33
IMG_3628_block_1_0_png_jpg.rf.8245129a77c2bf423f2c3d049337ac24.jpg,30,25,-16.67
IMG_3628_block_1_0_png_jpg.rf.82fa735e7174a6f151b8075c757517ff.jpg,29,28,-3.45
IMG_3628_block_1_1_png_jpg.rf.43923501f307aad6dd4ef9a65c4b7971.jpg,11,10,-9.09
IMG_3628_block_1_1_png_jpg.rf.8f29d92235cdb73ea80f4ec5b5b079e4.jpg,11,11,0.0
IMG_3628_block_1_1_png_jpg.rf.d6a221fd60a7abad92b68384223a28c8.jpg,13,11,-15.38
IMG_3628_block_2_0_png_jpg.rf.36996d90aca28c48a95ef687a98277da.jpg,2,2,0.0
IMG_3628_block_2_0_png_jpg.rf.9bba84705e3cb8449e01faa9077cfb54.jpg,2,2,0.0
IMG_3628_block_2_0_png_jpg.rf.f31be23c9cce7b866f83a693e9461006.jpg,2,2,0.0
IMG_3629_block_0_0_png_jpg.rf.0c15d5fdb14b0a0fcd24e9688a9dced3.jpg,1,1,0.0
IMG_3629_block_0_0_png_jpg.rf.7b6662ad9d1ec2b90d41c7b65be24eff.jpg,4,2,-50.0
IMG_3629_block_0_0_png_jpg.rf.97d142c26d18b0a4eb73ba3a7f929c61.jpg,3,3,0.0
IMG_3629_block_0_1_png_jpg.rf.48790aad7b710aa9166ef1f041479faf.jpg,20,20,0.0
IMG_3629_block_0_1_png_jpg.rf.66183f70a6f5950079493449e2654cf3.jpg,14,13,-7.14
IMG_3629_block_0_1_png_jpg.rf.7e4a3db383020e0a6f7db74b2203a894.jpg,15,15,0.0
IMG_3629_block_0_1_png_jpg.rf.7ef9ea8a030b6d949df4fd63686e035f.jpg,17,16,-5.88
IMG_3629_block_0_1_png_jpg.rf.bd05f709be792ef7f8100e20a08084ef.jpg,24,18,-25.0
IMG_3629_block_0_1_png_jpg.rf.df25f1149a68d51d7bfb4881c7758d19.jpg,21,18,-14.29
IMG_3629_block_1_0_png_jpg.rf.b35ccd3a85bd96ae5ad24139594ed730.jpg,1,1,0.0
IMG_3630_block_1_2_png_jpg.rf.3e45aef104902fd30c0810749101cc80.jpg,8,7,-12.5
IMG_3630_block_1_2_png_jpg.rf.a8b5fa62d2c86d55e6cd2ec56d2c6e19.jpg,8,8,0.0
IMG_3630_block_1_2_png_jpg.rf.c0f1209463177fa88002c706ef2198e5.jpg,14,11,-21.43
